source_name,county,source_type,website,automation_score,lead_quality_score,investor_intel_score,automation_method,automation_notes,blockers,recommended_priority
LOGS.org – Tarrant County Notices,Tarrant County TX,Public Notice Website,https://logs.org,7,8,7,HTTP_GET + PDF_PARSE,Covers Tarrant County trustee-sale notices. Same platform as Harris and Dallas LOGS entries. Reuse connector.,NONE,HIGH
Barrett Daffin – Dallas,Dallas County TX,Trustee Law Firm,https://www.bdfgroup.com,8,9,9,PDF_PARSE + HTTP_GET,Same platform as Harris County BDF Group. Reuse parser — filter for Dallas County notices.,NONE,HIGH
Barrett Daffin – Tarrant,Tarrant County TX,Trustee Law Firm,https://www.bdfgroup.com,8,9,9,PDF_PARSE + HTTP_GET,Same platform as Harris/Dallas BDF Group. Reuse parser — filter for Tarrant County notices.,NONE,HIGH
Mackie Wolf – Dallas,Dallas County TX,Trustee Law Firm,https://www.mwzmlaw.com,8,9,8,PDF_PARSE + HTTP_GET,Same platform as Harris County entry. Reuse parser — filter for Dallas County notices.,NONE,HIGH
Mackie Wolf – Tarrant,Tarrant County TX,Trustee Law Firm,https://www.mwzmlaw.com,8,9,8,PDF_PARSE + HTTP_GET,Same platform as Harris/Dallas entry. Reuse parser — filter for Tarrant County notices.,NONE,HIGH
Buczek Enterprises – Dallas,Dallas County TX,Trustee Law Firm,https://www.buczekenterprises.com,8,9,8,HTTP_GET,Same platform as Harris County entry. Multi-county. Reuse connector.,NONE,HIGH
Buczek Enterprises – Tarrant,Tarrant County TX,Trustee Law Firm,https://www.buczekenterprises.com,8,9,8,HTTP_GET,Same platform as Harris/Dallas entry. Multi-county. Reuse connector.,NONE,HIGH
BiggerPockets Foreclosure Listings – Houston,Harris County TX,Foreclosure Platform,https://www.biggerpockets.com,4,5,4,PLAYWRIGHT,Community-driven aggregator. Less real-time. Market research only. Low automation priority.,JS_HEAVY + UNVERIFIED_DATA,LOW
Texas General Land Office / Texas.gov Notice Search,Harris County TX,Public Notice Website,https://www.texasloanstar.net,3,4,4,MANUAL_ONLY,Aggregated state resource with limited direct foreclosure data. Cross-reference only. Not a viable automation target.,NO_ONLINE_PRESENCE + UNVERIFIED,LOW
Texas Comptroller – Local Property Tax Sales,Harris County TX,Official County Source,https://comptroller.texas.gov,3,5,4,HTTP_GET,State-level resource linking to county tax offices. Not a direct listing source. Annual update cycle. Reference only.,NO_DIRECT_LISTING,LOW
Texas HOA Foreclosure Filings – Dallas,Dallas County TX,HOA Foreclosure Source,https://www.dallascounty.org,6,7,5,PDF_PARSE,HOA foreclosure notices filed with Dallas County Clerk. Requires verification of specific filing system and public access before automation.,UNVERIFIED + SEPARATE_FILING_SYSTEM,MEDIUM
Dallas Courthouse Steps – George Allen Courthouse,Dallas County TX,Official County Source,NONE,2,9,7,MANUAL_ONLY,Physical auction only. No online presence. Must attend in person or have a local contact. 600 Commerce St Dallas TX.,NO_ONLINE_PRESENCE,LOW
Harris Courthouse Steps – 201 Caroline St,Harris County TX,Official County Source,NONE,2,9,7,MANUAL_ONLY,Physical auction only. No online presence. 201 Caroline St Houston TX. High-value wholesale opportunity requiring physical attendance.,NO_ONLINE_PRESENCE,LOW
Tarrant Courthouse Steps – Tim Curry Justice Center,Tarrant County TX,Official County Source,NONE,2,9,7,MANUAL_ONLY,Physical auction only. No online presence. 200 Taylor St Fort Worth TX. First Tuesday monthly.,NO_ONLINE_PRESENCE,LOW
Arlington Morning News – Public Notices,Tarrant County TX,Legal Newspaper,https://www.arlingtonmorningnews.com,4,6,4,BROWSER_AUTOMATION,Arlington-area legal newspaper. UNVERIFIED — confirm active and state-qualified before investing in automation.,UNVERIFIED + SMALL_COVERAGE,LOW
